% Model:              ML端口边界_高斯光极限精度比较1.32.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 6 2024, 09:23
% Dimension:          1
% Nodes:              1521
% Expressions:        1
% Description:        线结果图
% x 坐标 (m);real(ewfd.Ez)
-1.2658026315789474E-7;-7.808674873205292E-5
-1.2633157894736842E-7;-8.493698107799539E-5
-1.260828947368421E-7;-9.219642545043229E-5
-1.258342105263158E-7;-9.98919615938253E-5
-1.2558552631578947E-7;-1.080235895081744E-4
-1.2533684210526316E-7;-1.1659130919347963E-4
-1.2508815789473684E-7;-1.2562284167443464E-4
-1.2483947368421052E-7;-1.3512531700924166E-4
-1.245907894736842E-7;-1.4509873519790063E-4
-1.243421052631579E-7;-1.5554309624041157E-4
-1.2409342105263157E-7;-1.6646691384066074E-4
-1.2384473684210523E-7;-1.7784789667313106E-4
-1.2359605263157891E-7;-1.8968604473782255E-4
-1.233473684210526E-7;-2.0198135803473522E-4
-1.2309868421052628E-7;-2.1471354369824108E-4
-1.2284999999999997E-7;-2.278239503860504E-4
-1.2260131578947368E-7;-2.413125780981632E-4
-1.2235263157894736E-7;-2.551794268345795E-4
-1.2210394736842104E-7;-2.693685526308953E-4
-1.2185526315789473E-7;-2.837786764177088E-4
-1.216065789473684E-7;-2.9840979819502E-4
-1.213578947368421E-7;-3.132619179628289E-4
-1.2110921052631578E-7;-3.282373200763936E-4
-1.2086052631578946E-7;-3.431827394028915E-4
-1.2061184210526314E-7;-3.5809817594232256E-4
-1.2036315789473683E-7;-3.7298362969468676E-4
-1.201144736842105E-7;-3.8769045545789915E-4
-1.198657894736842E-7;-4.019974962810446E-4
-1.1961710526315788E-7;-4.159047521641231E-4
-1.1936842105263156E-7;-4.2941222310713466E-4
-1.1911973684210525E-7;-4.423046441753653E-4
-1.1887105263157893E-7;-4.542693591203177E-4
-1.1862236842105261E-7;-4.6530636794199184E-4
-1.183736842105263E-7;-4.7541567064038765E-4
-1.1812499999999998E-7;-4.8429194160604105E-4
-1.1787631578947366E-7;-4.91501830866956E-4
-1.1762763157894735E-7;-4.970453384231323E-4
