% Model:              ML端口边界_高斯光极限精度比较1.32.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 6 2024, 09:23
% Dimension:          1
% Nodes:              1521
% Expressions:        1
% Description:        线结果图
% x 坐标 (m);imag(ewfd.Ez)
-7.460526315789475E-8;0.1746372901607896
-7.435657894736843E-8;0.10340984068356612
-7.41078947368421E-8;0.0266303929470719
-7.385921052631577E-8;-0.05570105304869302
-7.361052631578946E-8;-0.14358449730372866
-7.336184210526314E-8;-0.23744910011404818
-7.311315789473684E-8;-0.33775321435900507
-7.286447368421054E-8;-0.4444968400385993
-7.261578947368422E-8;-0.5576799771528308
-7.23671052631579E-8;-0.6777594133730855
-7.211842105263157E-8;-0.8052160912455696
-7.186973684210524E-8;-0.9400500107702829
-7.162105263157893E-8;-1.0822611719472257
-7.137236842105262E-8;-1.2323293130419153
-7.112368421052632E-8;-1.390751954616107
-7.0875E-8;-1.557529096669801
-7.06263157894737E-8;-1.7326607392029971
-7.037763157894738E-8;-1.9166436403265112
-7.012894736842106E-8;-2.1099845994393513
-6.988026315789473E-8;-2.312683616541517
-6.963157894736841E-8;-2.5247406916330086
-6.938289473684209E-8;-2.7466623844039884
-6.913421052631578E-8;-2.9789562025136544
-6.888552631578946E-8;-3.221622145962008
-6.863684210526314E-8;-3.4746602147490475
-6.838815789473683E-8;-3.73857827788139
-6.813947368421051E-8;-4.013874775570072
-6.78907894736842E-8;-4.300549707815092
-6.764210526315788E-8;-4.598603074616452
-6.739342105263156E-8;-4.9085343516473365
-6.714473684210525E-8;-5.230822043034838
-6.689605263157893E-8;-5.565466148778954
-6.664736842105261E-8;-5.912466668879685
-6.63986842105263E-8;-6.272303882345608
-6.614999999999998E-8;-6.6454245448176685
-6.590131578947366E-8;-7.031828656295867
-6.565263157894735E-8;-7.431516216780205
-6.540394736842103E-8;-7.844936551549133
-6.515526315789471E-8;-8.272492087671312
-6.49065789473684E-8;-8.714182825146743
-6.465789473684208E-8;-9.170008763975423
-6.440921052631578E-8;-9.640375739067805
-6.416052631578946E-8;-10.125628696836122
-6.391184210526316E-8;-10.625767637280369
-6.366315789473686E-8;-11.140792560400552
-6.341447368421054E-8;-11.671052688501547
-6.316578947368422E-8;-12.216821976314337
-6.291710526315791E-8;-12.778100423838922
-6.266842105263159E-8;-13.3548880310753
-6.241973684210527E-8;-13.947463911306926
-6.217105263157896E-8;-14.556017390963152
-6.192236842105264E-8;-15.18054847004398
-6.167368421052633E-8;-15.821057148549412
-6.142500000000001E-8;-16.477738791842036
-6.117631578947369E-8;-17.150684595280115
-6.092763157894738E-8;-17.83989455886365
-6.067894736842106E-8;-18.545368682592642
-6.043026315789474E-8;-19.267205060303105
-6.018157894736843E-8;-20.005383677937953
-5.993289473684211E-8;-20.759904535497178
-5.96842105263158E-8;-21.530767632980787
-5.9435526315789465E-8;-22.31796067338581
-5.918684210526314E-8;-23.121340101509148
-5.893815789473681E-8;-23.94090591735081
-5.868947368421049E-8;-24.77665812091079
-5.844078947368417E-8;-25.628461630253323
-5.8192105263157857E-8;-26.496038111298674
-5.794342105263154E-8;-27.37938756404684
-5.7694736842105224E-8;-28.27850998849782
-5.7446052631578914E-8;-29.193136195591123
-5.719736842105261E-8;-30.122843287771516
-5.69486842105263E-8;-31.067631265039
-5.67E-8;-32.02750012739358
-5.645131578947368E-8;-33.00203668756836
-5.6202631578947365E-8;-33.99066550565034
-5.595394736842105E-8;-34.99338658163951
-5.570526315789473E-8;-36.01019991553587
-5.5456578947368416E-8;-37.04054021545178
-5.52078947368421E-8;-38.08367365262202
-5.4959210526315784E-8;-39.13960022704658
-5.471052631578947E-8;-40.20831993872547
-5.446184210526315E-8;-41.289109397914146
-5.4213157894736835E-8;-42.38107295722602
-5.396447368421052E-8;-43.48421061666106
-5.37157894736842E-8;-44.5985223762193
-5.3467105263157885E-8;-45.723123155144165
-5.321842105263157E-8;-46.856954705901856
-5.296973684210525E-8;-48.0000170284924
-5.2721052631578936E-8;-49.152310122915786
-5.247236842105262E-8;-50.312786258897404
-5.2223684210526304E-8;-51.480226630576055
-5.197499999999999E-8;-52.65463123795175
-5.172631578947367E-8;-53.83600008102447
-5.1477631578947355E-8;-55.02312463454394
-5.122894736842104E-8;-56.21463052021761
-5.098026315789472E-8;-57.410517738045485
-5.0731578947368405E-8;-58.61078628802755
-5.048289473684209E-8;-59.81407164163207
-5.023421052631578E-8;-61.01885184924257
-4.998552631578946E-8;-62.22512691085906
-4.973684210526315E-8;-63.43289682648153
-4.948815789473684E-8;-64.6406488676486
-4.9239473684210534E-8;-65.84672455528552
-4.899078947368423E-8;-67.05112388939233
-4.8742105263157914E-8;-68.25384686996902
-4.84934210526316E-8;-69.4532434125891
-4.824473684210527E-8;-70.64753257173498
-4.799605263157894E-8;-71.83671434740663
